"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Ahmedabad","Ahmedabad","23.0225","72.5714","India","IN","IND","Gujarāt","minor","8009000","1356304381"
"Sūrat","Surat","21.1702","72.8311","India","IN","IND","Gujarāt","","6538000","1356758738"
"Vadodara","Vadodara","22.3000","73.2000","India","IN","IND","Gujarāt","","2065771","1356705249"
"Rājkot","Rajkot","22.3000","70.7833","India","IN","IND","Gujarāt","","2043000","1356317190"
"Bhāvnagar","Bhavnagar","21.7600","72.1500","India","IN","IND","Gujarāt","","643365","1356982375"
"Jāmnagar","Jamnagar","22.4700","70.0700","India","IN","IND","Gujarāt","","479920","1356104995"
"Bārdoli","Bardoli","21.1200","73.1200","India","IN","IND","Gujarāt","","475963","1356054525"
"Jūnāgadh","Junagadh","21.5222","70.4579","India","IN","IND","Gujarāt","","320250","1356057451"
"Gāndhīdhām","Gandhidham","23.0800","70.1300","India","IN","IND","Gujarāt","","248705","1356140913"
"Porbandar","Porbandar","21.6417","69.6293","India","IN","IND","Gujarāt","","217500","1356634492"
"Ghāndīnagar","Ghandinagar","23.2231","72.6500","India","IN","IND","Gujarāt","admin","195891","1356140914"
"Morbi","Morbi","22.8200","70.8300","India","IN","IND","Gujarāt","","194947","1356746232"
"Nawsari","Nawsari","20.9500","72.9300","India","IN","IND","Gujarāt","","171109","1356363404"
"Valsād","Valsad","20.6100","72.9260","India","IN","IND","Gujarāt","","170060","1356306193"
"Wāpi","Wapi","20.3720","72.9170","India","IN","IND","Gujarāt","","163630","1356248785"
"Godhra","Godhra","22.7772","73.6203","India","IN","IND","Gujarāt","","161925","1356386046"
"Bharūch","Bharuch","21.7120","72.9930","India","IN","IND","Gujarāt","","158253","1356981799"
"Verāval","Veraval","20.9159","70.3629","India","IN","IND","Gujarāt","","153696","1356346826"
"Amreli","Amreli","21.6006","71.2164","India","IN","IND","Gujarāt","","146014","1356536773"
"Dīsa","Disa","24.2501","72.1822","India","IN","IND","Gujarāt","","135869","1356984967"
"Kalol","Kalol","23.2460","72.4960","India","IN","IND","Gujarāt","","133737","1356235543"
"Ānand","Anand","22.5560","72.9510","India","IN","IND","Gujarāt","","130462","1356044073"
"Botād","Botad","22.1700","71.6700","India","IN","IND","Gujarāt","","130302","1356518433"
"Jetpur","Jetpur","21.7542","70.6222","India","IN","IND","Gujarāt","","129653","1356272214"
"Pātan","Patan","23.8500","72.1250","India","IN","IND","Gujarāt","","125497","1356500905"
"Mahuva","Mahuva","21.0833","71.8000","India","IN","IND","Gujarāt","","120685","1356440104"
"Kheda","Kheda","22.7500","72.6800","India","IN","IND","Gujarāt","","102587","1356153866"
"Khambhāliya","Khambhaliya","22.2000","69.6500","India","IN","IND","Gujarāt","","100000","1356128387"
"Khambhāt","Khambhat","22.3000","72.6200","India","IN","IND","Gujarāt","","98700","1356354348"
"Māndvi","Mandvi","22.8333","69.3556","India","IN","IND","Gujarāt","","91330","1356046879"
"Dhorāji","Dhoraji","21.7337","70.4499","India","IN","IND","Gujarāt","","84545","1356595606"
"Samadiāla","Samadiala","21.3370","71.3100","India","IN","IND","Gujarāt","","83720","1356166137"
"Kadi","Kadi","23.3009","72.3322","India","IN","IND","Gujarāt","","81404","1356474902"
"Dahegām","Dahegam","23.1700","72.8200","India","IN","IND","Gujarāt","","80532","1356022392"
"Keshod","Keshod","21.3000","70.2500","India","IN","IND","Gujarāt","","76193","1356488794"
"Surendranagar","Surendranagar","22.7000","71.6833","India","IN","IND","Gujarāt","","75755","1356002804"
"Dhrāngadhra","Dhrangadhra","22.9800","71.4700","India","IN","IND","Gujarāt","","75133","1356143071"
"Chaklāsi","Chaklasi","22.6500","72.9300","India","IN","IND","Gujarāt","","72000","1356043788"
"Modāsa","Modasa","23.4700","73.3000","India","IN","IND","Gujarāt","","67648","1356294511"
"Pālitāna","Palitana","21.5200","71.8300","India","IN","IND","Gujarāt","","64497","1356100837"
"Visnagar","Visnagar","23.7000","72.5500","India","IN","IND","Gujarāt","","63073","1356690813"
"Okha","Okha","22.4667","69.0667","India","IN","IND","Gujarāt","","62052","1356176730"
"Siddhapur","Siddhapur","23.9167","72.3833","India","IN","IND","Gujarāt","","61867","1356103735"
"Halvad","Halvad","23.0200","71.1800","India","IN","IND","Gujarāt","","61247","1356123243"
"Kukarmunda","Kukarmunda","21.5167","74.1333","India","IN","IND","Gujarāt","","60598","1356400276"
"Upleta","Upleta","21.7300","70.2800","India","IN","IND","Gujarāt","","58775","1356920234"
"Una","Una","20.8200","71.0300","India","IN","IND","Gujarāt","","58528","1356734476"
"Bilimora","Bilimora","20.7500","72.9500","India","IN","IND","Gujarāt","","57583","1356597388"
"Unjha","Unjha","23.8000","72.4000","India","IN","IND","Gujarāt","","57108","1356738663"
"Viramgām","Viramgam","23.1200","72.0300","India","IN","IND","Gujarāt","","55821","1356782098"
"Kapadvanj","Kapadvanj","23.0200","73.0700","India","IN","IND","Gujarāt","","49308","1356950077"
"Sachīn","Sachin","21.0800","72.8800","India","IN","IND","Gujarāt","","45000","1356607032"
"Wānkāner","Wankaner","22.6161","70.9531","India","IN","IND","Gujarāt","","43881","1356694528"
"Thān","Than","22.5667","71.1833","India","IN","IND","Gujarāt","","42351","1356711533"
"Kālol","Kalol","22.6060","73.4630","India","IN","IND","Gujarāt","","42100","1356923566"
"Sānand","Sanand","22.9800","72.3800","India","IN","IND","Gujarāt","","41530","1356038288"
"Kodīnar","Kodinar","20.8600","70.8000","India","IN","IND","Gujarāt","","41492","1356105422"
"Hālol","Halol","22.5000","73.4700","India","IN","IND","Gujarāt","","41108","1356085463"
"Vādāsinor","Vadasinor","22.9500","73.3300","India","IN","IND","Gujarāt","","39330","1356439905"
"Dwārka","Dwarka","22.2464","68.9667","India","IN","IND","Gujarāt","","38873","1356276872"
"Rājula","Rajula","21.0500","71.4300","India","IN","IND","Gujarāt","","38489","1356495012"
"Dhanera","Dhanera","24.5200","72.0200","India","IN","IND","Gujarāt","","37893","1356117721"
"Lūnāvāda","Lunavada","23.1333","73.6167","India","IN","IND","Gujarāt","","36954","1356006899"
"Rādhanpur","Radhanpur","23.8300","71.6000","India","IN","IND","Gujarāt","","32076","1356941349"
"Bagasra","Bagasra","21.4833","70.9500","India","IN","IND","Gujarāt","","31789","1356111600"
"Mānāvadar","Manavadar","21.5000","70.1300","India","IN","IND","Gujarāt","","30850","1356643955"
"Mahemdāvād","Mahemdavad","22.8300","72.7700","India","IN","IND","Gujarāt","","30769","1356006601"
"Gariadhar","Gariadhar","21.5300","71.5800","India","IN","IND","Gujarāt","","30520","1356493368"
"Karjan","Karjan","22.0530","73.1235","India","IN","IND","Gujarāt","","30405","1356384057"
"Dhāri","Dhari","21.3261","71.0272","India","IN","IND","Gujarāt","","30352","1356032985"
"Mānsa","Mansa","23.4300","72.6700","India","IN","IND","Gujarāt","","30347","1356609725"
"Rānpur","Ranpur","22.3752","71.6898","India","IN","IND","Gujarāt","","30000","1356076618"
"Pātri","Patri","23.1900","71.8000","India","IN","IND","Gujarāt","","30000","1356536118"
"Salāya","Salaya","22.3200","69.6000","India","IN","IND","Gujarāt","","30000","1356118174"
"Dhandhuka","Dhandhuka","22.3700","71.9800","India","IN","IND","Gujarāt","","30000","1356032463"
"Idar","Idar","23.8390","73.0020","India","IN","IND","Gujarāt","","29597","1356039967"
"Umrat","Umrat","21.1152","72.8570","India","IN","IND","Gujarāt","","28761","1356063893"
"Pārdi","Pardi","20.5200","72.9500","India","IN","IND","Gujarāt","","28495","1356060001"
"Umargām","Umargam","20.2000","72.7500","India","IN","IND","Gujarāt","","27857","1356131657"
"Vadnagar","Vadnagar","23.7850","72.6400","India","IN","IND","Gujarāt","","27790","1356242825"
"Rardhu","Rardhu","22.6430","72.7762","India","IN","IND","Gujarāt","","27539","1356443211"
"Gadhada","Gadhada","21.9700","71.5700","India","IN","IND","Gujarāt","","26751","1356022459"
"Talāja","Talaja","21.3500","72.0500","India","IN","IND","Gujarāt","","26667","1356770262"
"Jodhpur","Jodhpur","21.8800","70.0300","India","IN","IND","Gujarāt","","25892","1356596981"
"Dhrol","Dhrol","22.5700","70.4200","India","IN","IND","Gujarāt","","25883","1356860668"
"Chhota Udepur","Chhota Udepur","22.3056","74.0139","India","IN","IND","Gujarāt","","25787","1356960185"
"Koba","Koba","21.2844","72.8763","India","IN","IND","Gujarāt","","25778","1356068970"
"Tarkeshwar","Tarkeshwar","21.0957","72.8225","India","IN","IND","Gujarāt","","25589","1356454132"
"Vijāpur","Vijapur","23.5700","72.7500","India","IN","IND","Gujarāt","","25558","1356813215"
"Bābra","Babra","21.8442","71.3042","India","IN","IND","Gujarāt","","25270","1356030434"
"Jāfarābād","Jafarabad","20.8667","71.3667","India","IN","IND","Gujarāt","","25081","1356101098"
"Khed Brahma","Khed Brahma","24.0283","73.0414","India","IN","IND","Gujarāt","","25001","1356775137"
"Sojītra","Sojitra","22.5500","72.7197","India","IN","IND","Gujarāt","","25000","1356754244"
"Chānasma","Chanasma","23.7200","72.1200","India","IN","IND","Gujarāt","","25000","1356102402"
"Lādol","Ladol","23.6167","72.7333","India","IN","IND","Gujarāt","","25000","1356081595"
"Kālāvad","Kalavad","22.2200","70.3800","India","IN","IND","Gujarāt","","24857","1356090795"
"Dākor","Dakor","22.7500","73.1500","India","IN","IND","Gujarāt","","23784","1356953206"
"Vallabh Vidyanagar","Vallabh Vidyanagar","22.5600","72.9500","India","IN","IND","Gujarāt","","23783","1356072969"
"Ahwa","Ahwa","20.7500","73.6833","India","IN","IND","Gujarāt","","22829","1356037120"
"Prāntij","Prantij","23.4384","72.8572","India","IN","IND","Gujarāt","","22306","1356442912"
"Bhānvad","Bhanvad","21.9300","69.7800","India","IN","IND","Gujarāt","","22142","1356199086"
"Vanthli","Vanthli","21.4778","70.3306","India","IN","IND","Gujarāt","","21891","1356168407"
"Surpur","Surpur","23.1895","73.8928","India","IN","IND","Gujarāt","","21772","1356886310"
"Chorwād","Chorwad","21.0167","70.2333","India","IN","IND","Gujarāt","","21196","1356991089"
"Lāthi","Lathi","21.4500","71.3800","India","IN","IND","Gujarāt","","21173","1356285950"
"Morāsar","Morasar","23.0942","72.5961","India","IN","IND","Gujarāt","","21150","1356355652"
"Mundra","Mundra","22.8500","69.7300","India","IN","IND","Gujarāt","","20338","1356047064"
"Kherālu","Kheralu","23.8800","72.6200","India","IN","IND","Gujarāt","","20143","1356601332"
"Bareja","Bareja","22.8500","72.5833","India","IN","IND","Gujarāt","","20000","1356921876"
"Sikka","Sikka","22.4244","69.8420","India","IN","IND","Gujarāt","","20000","1356054141"
"Sujnipur","Sujnipur","23.9667","71.8167","India","IN","IND","Gujarāt","","20000","1356334550"
"Dharampur","Dharampur","20.5300","73.1800","India","IN","IND","Gujarāt","","19932","1356973984"
"Anghad","Anghad","22.3913","72.9946","India","IN","IND","Gujarāt","","19805","1356759100"
"Devgadh Bāriya","Devgadh Bariya","22.7022","73.9150","India","IN","IND","Gujarāt","","19201","1356492947"
"Od","Od","22.6219","73.1161","India","IN","IND","Gujarāt","","18454","1356773790"
"Hārij","Harij","23.7000","71.9000","India","IN","IND","Gujarāt","","18388","1356090746"
"Tankāra","Tankara","22.6560","70.7480","India","IN","IND","Gujarāt","","18000","1356545743"
"Barvāla","Barvala","22.1500","71.9000","India","IN","IND","Gujarāt","","17951","1356344421"
"Māndvi","Mandvi","21.1500","73.1800","India","IN","IND","Gujarāt","","17453","1356973010"
"Kutiyāna","Kutiyana","21.6300","69.9800","India","IN","IND","Gujarāt","","17108","1356841944"
"Kadod","Kadod","21.2180","73.2200","India","IN","IND","Gujarāt","","16747","1356075785"
"Chalāla","Chalala","21.4200","71.1700","India","IN","IND","Gujarāt","","16721","1356868148"
"Jalālpur","Jalalpur","20.9491","72.9136","India","IN","IND","Gujarāt","","16246","1356153767"
"Bhiloda","Bhiloda","23.4600","73.1500","India","IN","IND","Gujarāt","","16074","1356527886"
"Valabhīpur","Valabhipur","21.8878","71.8795","India","IN","IND","Gujarāt","","15852","1356696432"
"Gandevi","Gandevi","20.8200","72.9800","India","IN","IND","Gujarāt","","15843","1356081460"
"Kāndla Port","Kandla Port","23.0300","70.2200","India","IN","IND","Gujarāt","","15782","1356512112"
"Mahudha","Mahudha","22.8200","72.9300","India","IN","IND","Gujarāt","","15780","1356391480"
"Mātar","Matar","22.7500","72.6800","India","IN","IND","Gujarāt","","15284","1356052577"
"Sathamba","Sathamba","23.1691","73.3266","India","IN","IND","Gujarāt","","15000","1356082832"
"Vasa","Vasa","22.6600","72.7500","India","IN","IND","Gujarāt","","15000","1356125170"
"Vāsad","Vasad","22.4500","73.0667","India","IN","IND","Gujarāt","","14384","1356456503"
"Khergām","Khergam","20.6300","73.0900","India","IN","IND","Gujarāt","","13912","1356074603"
"Avidha","Avidha","21.6651","73.0366","India","IN","IND","Gujarāt","","13506","1356873637"
"Vāghodia","Vaghodia","22.3000","73.3800","India","IN","IND","Gujarāt","","13480","1356977479"
"Gothva","Gothva","23.4781","72.5624","India","IN","IND","Gujarāt","","13132","1356152956"
"Moviya","Moviya","21.9153","70.8465","India","IN","IND","Gujarāt","","13000","1356256946"
"Kāmrej","Kamrej","21.1364","72.9572","India","IN","IND","Gujarāt","","12746","1356816802"
"Maroli","Maroli","21.0240","72.8890","India","IN","IND","Gujarāt","","12746","1356263762"
"Nakhtarāna","Nakhtarana","23.3500","69.2633","India","IN","IND","Gujarāt","","12534","1356615238"
"Hansot","Hansot","21.5833","72.8000","India","IN","IND","Gujarāt","","12525","1356012659"
"Dhansura","Dhansura","23.3492","73.2119","India","IN","IND","Gujarāt","","12424","1356072789"
"Ghogha","Ghogha","21.6800","72.2800","India","IN","IND","Gujarāt","","12208","1356544581"
"Adalaj","Adalaj","23.1700","72.5800","India","IN","IND","Gujarāt","","11957","1356655981"
"Meghraj","Meghraj","23.5000","73.5000","India","IN","IND","Gujarāt","","11363","1356158185"
"Dharmaj","Dharmaj","22.4167","72.8000","India","IN","IND","Gujarāt","","11334","1356593896"
"Waghāi","Waghai","20.7667","73.4833","India","IN","IND","Gujarāt","","10000","1356076874"
"Reha Mota","Reha Mota","23.1887","69.9034","India","IN","IND","Gujarāt","","10000","1356788337"
"Kerwāda","Kerwada","21.9000","72.8500","India","IN","IND","Gujarāt","","10000","1356177547"
"Bālāgām","Balagam","21.3694","70.0981","India","IN","IND","Gujarāt","","10000","1356790443"
"Mahuver","Mahuver","21.0081","72.8681","India","IN","IND","Gujarāt","","9715","1356010410"
"Godhra","Godhra","20.9231","70.9214","India","IN","IND","Gujarāt","","9631","1356153394"
"Navsāri","Navsari","20.8504","72.9200","India","IN","IND","Gujarāt","","","1356120513"
